s_0,s_1,s_2,s_3,s_4,s_5,s_6,action,d_0,d_1,d_2,d_3,d_4,d_5
0.51134074,0.008416654,3.7644458,0.0,298.15,298.15,0.0,0.0,0.0,0.0,1.001358e-05,0.0,0.0,0.0
0.51134074,0.008416654,3.7644558,0.0,298.15,298.15,0.0,-17.44494,0.0032305717,1.648441e-07,0.0,0.0,0.0,0.0
0.5145713,0.008416818,3.7644558,0.0,298.15,298.15,-17.44494,-14.106992,0.002612412,3.0733645e-08,0.16844583,3.886223e-05,0.20855713,0.20846558
0.5171837,0.008416849,3.9329016,3.886223e-05,298.35855,298.35846,-14.106992,-10.407028,0.001927197,-1.8626451e-09,-0.0014493465,-2.3841858e-05,0.13391113,0.13388062
0.5191109,0.008416847,3.9314523,1.50203705e-05,298.49246,298.49234,-10.407028,-17.881882,0.0033114552,0.0,-0.017910957,-9.059906e-06,0.05987549,0.05987549
0.5224224,0.008416847,3.9135413,5.9604645e-06,298.55234,298.55222,-17.881882,-12.956609,0.002399385,5.5879354e-09,0.065972805,-7.1525574e-07,0.20169067,0.20172119
0.52482176,0.008416853,3.9795141,5.2452087e-06,298.75403,298.75394,-12.956609,-13.076216,0.002421558,7.450581e-09,-0.023269892,4.7683716e-07,0.083618164,0.083618164
0.5272433,0.00841686,3.9562442,5.722046e-06,298.83765,298.83755,-13.076216,-23.681595,0.0043854713,2.2351742e-08,0.005988121,-4.7683716e-07,0.07736206,0.07736206
0.5316288,0.008416883,3.9622324,5.2452087e-06,298.915,298.91492,-23.681595,-6.7779326,0.0012551546,1.8626451e-09,0.083468676,2.861023e-06,0.3239441,0.32391357
0.53288394,0.008416885,4.045701,8.106232e-06,299.23895,299.23883,-6.7779326,-9.439828,0.0017481446,1.8626451e-09,-0.1181066,-3.8146973e-06,-0.06768799,-0.06765747
0.5346321,0.008416886,3.9275944,4.2915344e-06,299.17126,299.17117,-9.439828,-17.05808,0.0031588674,1.1175871e-08,0.017851114,-4.7683716e-07,-0.024749756,-0.024719238
0.53779095,0.008416898,3.9454455,3.8146973e-06,299.1465,299.14645,-17.05808,-14.171678,0.0026243925,1.3038516e-08,0.061580658,1.9073486e-06,0.12530518,0.12530518
0.54041535,0.008416911,4.007026,5.722046e-06,299.27182,299.27176,-14.171678,-10.417806,0.0019292235,8.381903e-09,-0.012268066,7.1525574e-07,0.053344727,0.05331421
0.54234457,0.008416919,3.9947581,6.4373016e-06,299.32516,299.32507,-10.417806,-15.114926,0.0027990341,1.21071935e-08,-0.027695417,-9.536743e-07,-0.024597168,-0.02456665
0.5451436,0.008416931,3.9670627,5.4836273e-06,299.30057,299.3005,-15.114926,-14.732991,0.002728343,1.5832484e-08,0.037676573,2.3841858e-07,0.06695557,0.06695557
0.54787195,0.008416947,4.0047393,5.722046e-06,299.36752,299.36746,-14.732991,-22.18673,0.0041086674,2.2351742e-08,0.0031328201,1.4305115e-06,0.053619385,0.053619385
0.5519806,0.008416969,4.007872,7.1525574e-06,299.42114,299.42108,-22.18673,-9.80388,0.0018155575,5.5879354e-09,0.059285164,1.9073486e-06,0.23120117,0.23117065
0.5537962,0.008416975,4.0671573,9.059906e-06,299.65234,299.65225,-9.80388,-12.810619,0.0023723245,6.519258e-09,-0.08256078,-3.33786e-06,-0.067108154,-0.067108154
