s_0,s_1,s_2,s_3,s_4,s_5,s_6,action,d_0,d_1,d_2,d_3,d_4,d_5
0.606885,0.008416654,3.8485825,0.0,298.15,298.15,0.0,-17.44494,0.0032305121,1.648441e-07,0.0,0.0,0.0,0.0
0.6101155,0.008416818,3.8485825,0.0,298.15,298.15,-17.44494,-14.107052,0.0026124716,3.1664968e-08,0.16530776,3.862381e-05,0.20925903,0.20913696
0.612728,0.00841685,4.0138903,3.862381e-05,298.35925,298.35913,-14.107052,-10.406899,0.001927197,0.0,-0.002752304,-2.3841858e-05,0.13449097,0.13449097
0.6146552,0.00841685,4.011138,1.4781952e-05,298.49374,298.49362,-10.406899,-17.878502,0.0033107996,2.7939677e-09,-0.018319607,-8.34465e-06,0.0602417,0.0602417
0.617966,0.008416853,3.9928184,6.4373016e-06,298.554,298.55386,-17.878502,-12.95454,0.0023990273,4.656613e-09,0.066224575,-7.1525574e-07,0.20254517,0.20257568
0.620365,0.008416858,4.059043,5.722046e-06,298.75653,298.75644,-12.95454,-13.077619,0.0024217367,5.5879354e-09,-0.023262024,0.0,0.08413696,0.08413696
0.62278676,0.008416863,4.035781,5.722046e-06,298.84067,298.84058,-13.077619,-23.68081,0.004385352,1.9557774e-08,0.006615162,0.0,0.077941895,0.077941895
0.6271721,0.008416883,4.042396,5.722046e-06,298.9186,298.91852,-23.68081,-6.7749724,0.0012546182,-9.313226e-10,0.08771849,2.861023e-06,0.32556152,0.325531
0.62842673,0.008416882,4.1301146,8.583069e-06,299.24417,299.24405,-6.7749724,-9.457897,0.0017514825,9.313226e-10,-0.12113333,-4.7683716e-06,-0.06790161,-0.067840576
0.6301782,0.008416883,4.008981,3.8146973e-06,299.17627,299.1762,-9.457897,-17.056765,0.003158629,9.313226e-09,0.018829823,0.0,-0.024353027,-0.024353027
0.63333684,0.008416892,4.027811,3.8146973e-06,299.15192,299.15186,-17.056765,-14.172359,0.0026245117,1.21071935e-08,0.06502104,1.9073486e-06,0.1262207,0.12619019
0.63596135,0.008416904,4.092832,5.722046e-06,299.27814,299.27805,-14.172359,-10.4404545,0.0019334555,5.5879354e-09,-0.010979176,9.536743e-07,0.05392456,0.053955078
0.6378948,0.00841691,4.081853,6.67572e-06,299.33206,299.332,-10.4404545,-15.1286545,0.0028015971,9.313226e-09,-0.02759409,-9.536743e-07,-0.02407837,-0.02407837
0.6406964,0.008416919,4.054259,5.722046e-06,299.30798,299.30792,-15.1286545,-14.7483835,0.0027311444,1.1175871e-08,0.04081726,4.7683716e-07,0.06790161,0.06790161
0.64342755,0.00841693,4.095076,6.198883e-06,299.3759,299.37582,-14.7483835,-22.216812,0.00411427,1.9557774e-08,0.0053343773,9.536743e-07,0.05456543,0.05456543
0.6475418,0.00841695,4.1004105,7.1525574e-06,299.43045,299.4304,-22.216812,-9.785637,0.00181216,1.8626451e-09,0.06601477,1.9073486e-06,0.23370361,0.2336731
0.649354,0.008416952,4.166425,9.059906e-06,299.66415,299.66406,-9.785637,-12.868654,0.0023830533,4.656613e-09,-0.08582449,-3.33786e-06,-0.06774902,-0.067718506
0.65173703,0.008416956,4.0806007,5.722046e-06,299.5964,299.59634,-12.868654,-11.707296,0.0021679997,3.7252903e-09,0.023046494,0.0,-0.007598877,-0.007598877
0.65390503,0.00841696,4.103647,5.722046e-06,299.5888,299.58875,-11.707296,-22.798489,0.004221976,1.6763806e-08,-0.0077109337,-4.7683716e-07,-0.030548096,-0.030548096
