episode,s_0,s_1,s_2,s_3,s_4,s_5,s_6,action,d_0,d_1,d_2,d_3,d_4,d_5
1,0.606885,0.008416654,3.8485723,0.0,298.15,298.15,0.0,0.0,0.0,0.0,1.0251999e-05,0.0,0.0,0.0
1,0.606885,0.008416654,3.8485825,0.0,298.15,298.15,0.0,-20.352432,0.0037689805,1.9278377e-07,0.0,0.0,0.0,0.0
1,0.610654,0.008416846,3.8485825,0.0,298.15,298.15,-20.352432,-16.458214,0.003047824,3.9115548e-08,0.1860125,4.2438507e-05,0.272583,0.27246094
1,0.6137018,0.0084168855,4.034595,4.2438507e-05,298.42258,298.42245,-16.458214,-12.142107,0.0022485256,0.0,-0.0013365746,-2.4795532e-05,0.17703247,0.17700195
1,0.61595035,0.0084168855,4.0332584,1.7642975e-05,298.5996,298.59946,-12.142107,-20.858017,0.0038625598,9.313226e-10,-0.01930046,-9.536743e-06,0.08081055,0.08081055
1,0.6198129,0.008416886,4.013958,8.106232e-06,298.68042,298.68027,-20.858017,-15.112147,0.0027985573,4.656613e-09,0.07452536,-1.4305115e-06,0.26602173,0.26605225
1,0.62261146,0.008416891,4.0884833,6.67572e-06,298.94644,298.94632,-15.112147,-15.254817,0.0028249621,6.519258e-09,-0.02464819,0.0,0.1126709,0.1126709
1,0.6254364,0.008416898,4.063835,6.67572e-06,299.0591,299.059,-15.254817,-27.629667,0.0051166415,2.514571e-08,0.007919788,-4.7683716e-07,0.10430908,0.10430908
1,0.63055307,0.008416923,4.071755,6.198883e-06,299.16342,299.1633,-27.629667,-7.8932004,0.0014616847,-1.8626451e-09,0.100538254,4.2915344e-06,0.42816162,0.42816162
1,0.63201475,0.008416921,4.172293,1.04904175e-05,299.59158,299.59146,-7.8932004,-11.037873,0.002044022,-9.313226e-10,-0.13549376,-6.198883e-06,-0.08685303,-0.08685303
1,0.6340588,0.00841692,4.0367994,4.2915344e-06,299.50473,299.5046,-11.037873,-19.887548,0.0036829114,1.1175871e-08,0.020327091,0.0,-0.030334473,-0.030334473
1,0.6377417,0.008416931,4.0571265,4.2915344e-06,299.4744,299.47427,-19.887548,-16.535954,0.0030621886,1.3969839e-08,0.07316589,2.3841858e-06,0.16571045,0.16571045
