episode,s_0,s_1,s_2,s_3,s_4,s_5,s_6,action,d_0,d_1,d_2,d_3,d_4,d_5
1,0.606885,0.008416654,3.8485723,0.0,298.15,298.15,0.0,-19.856846,0.0036771894,1.8812716e-07,0.013250351,3.9701463e-06,0.0,0.0
1,0.6105622,0.008416842,3.8618226,3.9701463e-06,298.15,298.15,-19.856846,-8.152505,0.001509726,8.381903e-09,0.17474747,3.8163183e-05,0.26135254,0.26119995
1,0.61207193,0.00841685,4.03657,4.213333e-05,298.41135,298.4112,-8.152505,-3.2503934,0.0006019473,-9.313226e-09,-0.07192898,-3.232479e-05,0.032684326,0.032714844
1,0.6126739,0.008416841,3.964641,9.80854e-06,298.44403,298.4439,-3.2503934,-5.871434,0.0010872483,-1.21071935e-08,-0.04660988,-8.156061e-06,-0.021240234,-0.021240234
1,0.6137611,0.008416829,3.9180312,1.6524792e-06,298.4228,298.42267,-5.871434,-12.0383835,0.002229333,-1.8626451e-09,0.031018734,-1.6095639e-06,0.0035095215,0.003540039
1,0.61599046,0.008416827,3.94905,4.2915346e-08,298.4263,298.4262,-12.0383835,-2.8744645,0.0005323291,-2.7939677e-09,0.05397463,2.2889376e-06,0.090545654,0.090545654
1,0.6165228,0.008416824,4.0030246,2.331853e-06,298.51685,298.51675,-2.8744645,-2.8191926,0.0005220771,-1.8626451e-09,-0.08219814,-9.485484e-07,-0.031677246,-0.03164673
1,0.61704487,0.008416822,3.9208264,1.3833046e-06,298.48517,298.4851,-2.8191926,-17.10849,0.0031682253,6.519258e-09,0.005149603,-4.1484896e-08,-0.029052734,-0.029052734
1,0.6202131,0.008416829,3.925976,1.3418197e-06,298.45612,298.45605,-17.10849,0.0,0.0,-6.519258e-09,0.11913276,2.3390803e-06,0.18426514,0.18426514
1,0.6202131,0.008416822,4.045109,3.6809001e-06,298.64038,298.64032,0.0,0.0,0.0,-4.656613e-09,-0.15180731,-3.0999986e-06,-0.057250977,-0.057250977
1,0.6202131,0.0084168175,3.8933015,5.8090166e-07,298.58313,298.58307,0.0,-11.132628,0.0020616055,1.3038516e-08,-0.00060629845,-4.974552e-07,-0.050567627,-0.050567627
1,0.6222747,0.008416831,3.8926952,8.34465e-08,298.53256,298.5325,-11.132628,-6.755959,0.0012511015,5.5879354e-09,0.11058068,5.0415993e-06,0.059753418,0.059753418
1,0.6235258,0.008416836,4.003276,5.125046e-06,298.59232,298.59225,-6.755959,0.0,0.0,-4.656613e-09,-0.03521371,-1.4046072e-06,-0.005340576,-0.0053100586
1,0.6235258,0.0084168315,3.9680622,3.7204386e-06,298.58698,298.58694,0.0,-5.7728496,0.0010690689,3.7252903e-09,-0.07287884,-3.4140708e-06,-0.050994873,-0.05102539
1,0.62459487,0.008416835,3.8951833,3.0636787e-07,298.53598,298.53592,-5.7728496,-7.2533646,0.0013431907,5.5879354e-09,0.06279969,2.432108e-06,-0.011810303,-0.011779785
1,0.62593806,0.008416841,3.957983,2.7384758e-06,298.52417,298.52414,-7.2533646,-11.660656,0.0021594167,1.1175871e-08,0.021245241,8.459092e-07,0.0066833496,0.0066833496
