s_0,s_1,s_2,s_3,s_4,s_5,s_6,action,d_0,d_1,d_2,d_3,d_4,d_5
0.51134074,0.008416654,3.7644458,0.0,298.15,298.15,0.0,0.0,0.0,0.0,1.001358e-05,0.0,0.0,0.0
0.51134074,0.008416654,3.7644558,0.0,298.15,298.15,0.0,-3.712181,0.00068748,3.5390258e-08,0.0,0.0,-0.0030054807641115744,0.0
0.5120282,0.008416689,3.7644558,0.0,298.15,298.15,-3.712181,-6.204623,0.0011489987,6.519258e-09,0.044154644,1.2636185e-05,0.003719207212618666,0.0121154785
0.5131772,0.0084166955,3.8086104,1.2636185e-05,298.1621,298.1621,-6.204623,-7.1517754,0.0013244152,5.5879354e-09,0.03219676,-8.821487e-06,0.02141632489175779,0.03225708
0.51450163,0.008416701,3.8408072,3.8146973e-06,298.19437,298.19437,-7.1517754,-8.284249,0.0015341043,6.519258e-09,0.01693654,-7.1525574e-07,0.02677406275615877,0.04058838
0.51603574,0.008416708,3.8577437,3.0994415e-06,298.23495,298.23495,-8.284249,-9.103763,0.0016858578,8.381903e-09,0.01806879,2.3841858e-07,0.03592122898420841,0.05178833
0.5177216,0.008416716,3.8758125,3.33786e-06,298.28674,298.28674,-9.103763,-9.691413,0.0017946959,1.0244548e-08,0.014857531,7.1525574e-07,0.042244111717235126,0.059143066
0.5195163,0.008416726,3.89067,4.053116e-06,298.34592,298.3459,-9.691413,-11.121334,0.0020595193,1.21071935e-08,0.0122590065,4.7683716e-07,0.04116774434618287,0.063079834
0.5215758,0.008416738,3.902929,4.529953e-06,298.40897,298.40897,-11.121334,-11.516366,0.0021326542,1.21071935e-08,0.019151688,2.3841858e-07,0.058434779816997864,0.080596924
0.52370846,0.0084167505,3.9220808,4.7683716e-06,298.4896,298.48956,-11.516366,-11.460172,0.002122283,1.1175871e-08,0.0106318,4.7683716e-07,0.06075172423100421,0.080566406
0.52583075,0.008416762,3.9327126,5.2452087e-06,298.57016,298.57013,-11.460172,-11.809565,0.002186954,1.3038516e-08,0.005927801,0.0,0.05283332346080029,0.07232666
0.5280177,0.008416775,3.9386404,5.2452087e-06,298.6425,298.64246,-11.809565,-12.170529,0.0022537708,1.21071935e-08,0.008277893,2.3841858e-07,0.05206336062390085,0.07156372
0.5302715,0.008416787,3.9469182,5.4836273e-06,298.71405,298.71402,-12.170529,-12.147943,0.002249658,1.1175871e-08,0.00808239,0.0,0.05361620857747483,0.071136475
0.5325211,0.008416798,3.9550006,5.4836273e-06,298.7852,298.78516,-12.147943,-12.304767,0.002278626,1.21071935e-08,0.004643202,0.0,0.047091899849412505,0.06359863
0.53479975,0.00841681,3.9596438,5.4836273e-06,298.8488,298.84875,-12.304767,-12.565051,0.0023269057,1.21071935e-08,0.0055036545,2.3841858e-07,0.04367158450342987,0.059936523
0.53712666,0.008416822,3.9651475,5.722046e-06,298.90872,298.9087,-12.565051,-13.581899,0.0025151372,1.3038516e-08,0.006131172,-2.3841858e-07,0.038057485464684584,0.058532715
0.5396418,0.008416835,3.9712787,5.4836273e-06,298.9673,298.96722,-13.581899,-13.946837,0.0025827289,1.4901161e-08,0.012252808,4.7683716e-07,0.051122379391374685,0.07229614
0.5422245,0.00841685,3.9835315,5.9604645e-06,299.03958,299.03952,-13.946837,-14.119874,0.0026147962,1.3969839e-08,0.007812738,4.7683716e-07,0.05240020540868205,0.072753906
0.5448393,0.008416864,3.9913442,6.4373016e-06,299.11234,299.11227,-14.119874,-14.080567,0.0026075244,1.3038516e-08,0.006085634,0.0,0.05099368774825229,0.06921387
0.54744685,0.008416877,3.9974298,6.4373016e-06,299.18155,299.1815,-14.080567,-14.929621,0.0027647614,1.4901161e-08,0.0040426254,2.3841858e-07,0.0396390945032869,0.061431885
0.5502116,0.008416892,4.0014725,6.67572e-06,299.24298,299.24292,-14.929621,-14.546483,0.0026937723,1.4901161e-08,0.010557175,-4.7683716e-07,0.055265533431328354,0.07299805
0.5529054,0.008416907,4.0120296,6.198883e-06,299.31598,299.31592,-14.546483,-14.212259,0.0026319027,1.3969839e-08,0.0016546249,4.7683716e-07,0.04394005348690127,0.057647705
0.5555373,0.008416921,4.0136843,6.67572e-06,299.37366,299.37357,-14.212259,-14.218687,0.0026330948,1.21071935e-08,0.0009598732,0.0,0.03206369181313424,0.04437256
0.5581704,0.008416933,4.014644,6.67572e-06,299.418,299.41794,-14.218687,-13.071948,0.0024207234,1.1175871e-08,0.0030050278,0.0,0.035006622673343805,0.039276123
0.5605911,0.008416944,4.017649,6.67572e-06,299.4573,299.4572,-13.071948,-12.347444,0.0022865534,8.381903e-09,-0.006348133,-4.7683716e-07,0.011846808676042994,0.011108398
0.56287766,0.008416953,4.011301,6.198883e-06,299.4684,299.46832,-12.347444,-12.705055,0.0023528337,1.0244548e-08,-0.0046362877,-4.7683716e-07,-0.0065116749588148325,-0.005554199
0.5652305,0.008416963,4.0066648,5.722046e-06,299.46283,299.46277,-12.705055,-13.193736,0.002443254,1.1175871e-08,0.0037736893,0.0,-0.0031302011479809877,0.0007019043
0.56767374,0.008416974,4.0104384,5.722046e-06,299.46353,299.46347,-13.193736,-14.834339,0.0027471185,1.3969839e-08,0.0057644844,0.0,-0.004199230518945099,0.009643555
0.57042086,0.008416988,4.016203,5.722046e-06,299.47318,299.4731,-14.834339,-15.312201,0.0028355718,1.4901161e-08,0.015685081,9.536743e-07,0.025746660766815088,0.04244995
0.57325643,0.008417003,4.031888,6.67572e-06,299.51566,299.51556,-15.312201,-15.869055,0.0029387474,1.3038516e-08,0.008452892,4.7683716e-07,0.030266328672062498,0.049713135
0.5761952,0.008417016,4.040341,7.1525574e-06,299.56534,299.56528,-15.869055,-16.644665,0.003082335,1.5832484e-08,0.009084702,0.0,0.034511339206939114,0.05810547
0.5792775,0.008417032,4.0494256,7.1525574e-06,299.62347,299.62338,-16.644665,-16.534203,0.0030618906,1.4901161e-08,0.01098299,9.536743e-07,0.049792030604860434,0.071136475
0.5823394,0.008417047,4.0604086,8.106232e-06,299.69458,299.69452,-16.534203,-17.377033,0.0032179356,1.4901161e-08,0.0047388077,-4.7683716e-07,0.036984430729898196,0.06265259
0.58555734,0.0084170615,4.0651474,7.6293945e-06,299.75726,299.75717,-17.377033,-17.615719,0.0032621622,1.5832484e-08,0.011286259,4.7683716e-07,0.05101367346105372,0.0769043
0.5888195,0.008417077,4.0764337,8.106232e-06,299.83417,299.83408,-17.615719,-18.915749,0.003502965,1.4901161e-08,0.0075716972,4.7683716e-07,0.04183134731361854,0.07608032
0.59232247,0.008417092,4.0840054,8.583069e-06,299.91025,299.91016,-18.915749,-20.13827,0.0037292838,1.5832484e-08,0.015506744,4.7683716e-07,0.059153222754889614,0.10183716
0.59605175,0.008417108,4.099512,9.059906e-06,300.0121,300.012,-20.13827,-21.596498,0.0039993525,1.7695129e-08,0.01655531,0.0,0.07248431688906068,0.12579346
0.6000511,0.008417126,4.1160674,9.059906e-06,300.13788,300.1378,-21.596498,-21.687197,0.004016161,1.7695129e-08,0.019685268,9.536743e-07,0.10553802255836442,0.15640259
0.60406727,0.0084171435,4.1357527,1.001358e-05,300.2943,300.2942,-21.687197,-20.652979,0.0038245916,1.3969839e-08,0.0111022,4.7683716e-07,0.11012211738261557,0.14743042
0.60789186,0.008417157,4.146855,1.04904175e-05,300.4417,300.44162,-20.652979,-20.098276,0.0037219524,1.21071935e-08,0.0013904572,0.0,0.07683141372864968,0.10531616
0.6116138,0.00841717,4.1482453,1.04904175e-05,300.54706,300.54694,-20.098276,-19.235062,0.0035620332,6.519258e-09,0.0023646355,0.0,0.060028922227627894,0.07839966
0.61517584,0.008417176,4.15061,1.04904175e-05,300.62546,300.62534,-19.235062,-18.763098,0.0034746528,7.450581e-09,-0.001144886,-1.4305115e-06,0.03265347906578652,0.04510498
0.6186505,0.0084171835,4.149465,9.059906e-06,300.67053,300.67044,-18.763098,-18.120235,0.0033555627,5.5879354e-09,0.00063943863,0.0,0.01928229692111564,0.02532959
0.62200606,0.008417189,4.1501045,9.059906e-06,300.6959,300.69577,-18.120235,-18.1204,0.0033556223,5.5879354e-09,-0.0010499954,0.0,-0.001848937652495549,0.0036010742
0.6253617,0.008417195,4.1490545,9.059906e-06,300.69946,300.69937,-18.1204,-19.087362,0.0035347342,8.381903e-09,0.0036320686,-9.536743e-07,-0.012258316008763218,0.00088500977
0.6288964,0.008417203,4.1526866,8.106232e-06,300.70038,300.70026,-19.087362,-20.736698,0.0038400888,1.0244548e-08,0.012268543,1.4305115e-06,-0.0029087914440123173,0.024597168
0.6327365,0.008417213,4.164955,9.536743e-06,300.72495,300.72485,-20.736698,-21.577152,0.003995776,1.1175871e-08,0.020009518,4.7683716e-07,0.03272890217317623,0.06732178
0.6367323,0.0084172245,4.1849647,1.001358e-05,300.79227,300.79218,-21.577152,-20.820354,0.0038556457,9.313226e-09,0.0164814,0.0,0.061344194616532496,0.08718872
0.37417358,0.0061795977,3.648475,6.67572e-06,298.15,298.15,0.0,-15.008289,0.002779305,1.0058284e-07,7.6293945e-06,-6.67572e-06,-0.04912674991211033,0.0
0.3769529,0.0061796983,3.6484826,0.0,298.15,298.15,-15.008289,-14.787301,0.0027383864,2.8405339e-08,0.14603066,3.385544e-05,0.11579199252443052,0.16339111
0.37969127,0.0061797267,3.7945132,3.385544e-05,298.31348,298.3134,-14.787301,-13.7171955,0.0025402308,6.9849193e-09,0.016012192,-1.9073486e-05,0.11580035723478477,0.15258789
0.3822315,0.0061797337,3.8105254,1.4781952e-05,298.46606,298.46597,-13.7171955,-12.833605,0.0023765862,3.259629e-09,0.005099058,-6.4373016e-06,0.09512943088773826,0.12283325
0.3846081,0.006179737,3.8156245,8.34465e-06,298.5889,298.5888,-12.833605,-12.161443,0.0022521317,2.7939677e-09,0.0022575855,-2.3841858e-06,0.0758644632368067,0.096710205
0.38686022,0.0061797397,3.817882,5.9604645e-06,298.6856,298.68552,-12.161443,-11.551532,0.002139151,3.7252903e-09,0.0010728836,-7.1525574e-07,0.06029276585359523,0.07550049
0.38899937,0.0061797434,3.818955,5.2452087e-06,298.76108,298.76102,-11.551532,-11.218688,0.0020775497,4.656613e-09,-0.0002808571,-4.7683716e-07,0.04517041872774327,0.05670166
0.39107692,0.006179748,3.818674,4.7683716e-06,298.8178,298.81772,-11.218688,-11.185773,0.0020714402,4.656613e-09,0.00079751015,2.3841858e-07,0.034507391009797925,0.04446411
0.39314836,0.0061797528,3.8194716,5.00679e-06,298.86224,298.86218,-11.185773,-11.981364,0.002218753,6.0535967e-09,0.0028266907,0.0,0.025844566532162046,0.038604736
0.39536712,0.006179759,3.8222983,5.00679e-06,298.90088,298.9008,-11.981364,-12.245184,0.002267629,6.519258e-09,0.009949207,2.3841858e-07,0.03531240774661988,0.04849243
0.39763474,0.0061797653,3.8322475,5.2452087e-06,298.94937,298.94928,-12.245184,-12.477618,0.0023106933,6.9849193e-09,0.0064058304,2.3841858e-07,0.03513674959694944,0.048339844
